area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,customer_service_calls,churn,servicesAvailed_years,day_rate,eve_rate,night_rate,intl_rate
510,0,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,0,12.0,0.16999195494770716,0.0850235057085292,0.04498550724637681,0.27
415,0,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,0,8.0,0.17000983284169124,0.08500220555800618,0.045013123359580055,0.26986301369863014
415,0,0,0,235.8,109,157.2,94,188.2,99,12.0,3,0,0,7.0,0.17001696352841392,0.08498727735368956,0.045005313496280556,0.27
415,0,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,0,4.0,0.17001909611712288,0.08499776085982982,0.04498346196251378,0.27049180327868855
415,0,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,1,7.0,0.16999666999666999,0.08502762430939227,0.04498333950388745,0.2700854700854701
408,0,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,1,12.0,0.16996753246753246,0.08495460440985733,0.045028901734104045,0.26951219512195124
415,0,0,0,214.1,72,164.4,104,177.5,113,8.2,3,2,0,4.0,0.170014012143858,0.08497566909975669,0.04501408450704225,0.26951219512195124
408,0,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,0,6.0,0.16997649823736782,0.08498711340206186,0.04501312335958005,0.26999999999999996
415,0,0,0,201.1,99,303.5,74,224.0,119,13.2,2,1,0,12.0,0.17001491795126802,0.08500823723228995,0.045,0.2696969696969697
415,1,0,0,215.4,104,204.8,79,278.5,109,12.6,5,3,0,10.0,0.17000928505106777,0.085009765625,0.04499102333931777,0.2698412698412698
408,0,1,25,165.6,123,136.1,95,175.7,90,11.0,2,3,0,5.0,0.16998792270531402,0.08501102130786187,0.0450199203187251,0.27
415,0,1,24,249.5,101,259.7,98,222.7,68,9.8,4,1,0,6.0,0.17002004008016033,0.08498267231420871,0.044993264481365064,0.2704081632653061
510,0,0,0,210.6,96,249.2,85,191.4,88,12.4,1,2,1,9.0,0.16999050332383664,0.08499197431781702,0.04498432601880877,0.2701612903225806
510,0,1,29,179.3,104,225.9,86,323.0,78,8.6,7,0,0,11.0,0.16999442275515894,0.0849933598937583,0.04501547987616099,0.2697674418604651
408,0,0,0,157.9,105,155.0,101,189.6,84,8.0,5,4,1,8.0,0.16998100063331223,0.08503225806451613,0.044989451476793244,0.27
510,0,0,0,214.3,118,208.5,76,182.4,98,12.0,2,1,0,9.0,0.1699953336444237,0.08498800959232614,0.0450109649122807,0.27
415,0,1,35,154.1,104,123.4,84,202.1,57,10.9,9,2,0,6.0,0.1700194678780013,0.08500810372771475,0.044977733795150916,0.2697247706422018
415,0,0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,1,11.0,0.1699873896595208,0.08501615508885299,0.044997606510292006,0.2697841726618705
510,0,0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,0,7.0,0.16997915218902016,0.08501795792714212,0.04498175182481752,0.2702702702702703
415,0,0,0,203.4,100,190.9,104,196.0,119,8.9,4,0,1,13.0,0.17000983284169124,0.08501833420639078,0.045,0.2696629213483146
415,0,0,0,124.3,100,173.0,107,253.2,62,7.9,9,1,0,7.0,0.16999195494770716,0.08502890173410405,0.04498420221169037,0.26962025316455696
415,0,0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,0,6.0,0.16998813760379597,0.08497757847533632,0.045017051913603646,0.27052631578947367
415,0,0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,0,8.0,0.17001675041876047,0.08499475341028331,0.04502740798747063,0.269811320754717
408,0,0,0,278.4,106,81.0,113,163.2,137,9.8,5,1,0,9.0,0.17000718390804598,0.08506172839506172,0.04497549019607843,0.2704081632653061
415,0,0,0,160.1,110,213.3,72,174.1,72,13.0,4,0,0,6.0,0.17001873828856964,0.08499765588373183,0.04497415278575532,0.26999999999999996
415,0,0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,0,8.0,0.16997981836528758,0.08499758803666184,0.04499738082765846,0.2701149425287357
408,0,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,1,10.0,0.17001414427157002,0.08500477554918816,0.044976076555023926,0.269811320754717
415,0,0,0,251.8,72,205.7,126,275.2,109,9.8,7,2,1,6.0,0.17001588562351072,0.08497812348079728,0.04498546511627907,0.2704081632653061
510,0,1,21,161.2,114,252.2,83,160.2,92,4.4,8,4,0,8.0,0.16997518610421836,0.08501189532117367,0.04500624219725344,0.27045454545454545
415,0,0,0,178.3,137,189.0,76,129.1,102,14.6,5,0,0,9.0,0.16999439147504206,0.08502645502645503,0.04500387296669248,0.26986301369863014
415,0,0,0,151.7,82,119.0,105,180.0,100,10.5,6,0,0,11.0,0.17000659195781148,0.08504201680672269,0.045,0.2704761904761905
408,0,0,0,135.0,99,183.6,106,245.3,102,12.5,9,1,0,8.0,0.16999999999999998,0.08502178649237473,0.04500611496127191,0.2704
408,0,0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,0,10.0,0.17002932551319647,0.0849740932642487,0.04501206757843926,0.26991150442477874
408,0,0,0,238.1,65,187.2,98,190.0,115,11.8,4,4,0,8.0,0.17001259974800503,0.08498931623931624,0.045000000000000005,0.2703389830508474
510,0,1,29,281.4,102,202.2,76,187.2,113,9.0,6,2,0,3.0,0.17000710732054017,0.08501483679525224,0.04497863247863248,0.27
510,0,1,21,117.9,131,164.5,115,217.0,86,9.8,3,1,0,8.0,0.16997455470737913,0.08498480243161094,0.04497695852534562,0.2704081632653061
415,0,1,32,148.6,91,131.1,97,219.4,142,10.1,1,1,0,12.0,0.16998654104979813,0.08497330282227308,0.04498632634457611,0.2702970297029703
408,0,0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,0,13.0,0.17001740644038293,0.08498985801217038,0.044987572493786245,0.26979166666666665
408,0,0,0,165.0,100,317.2,83,119.2,86,8.3,8,1,0,10.0,0.17,0.08499369482976041,0.04496644295302014,0.26987951807228916
415,0,0,0,185.0,117,223.3,94,222.8,91,12.6,2,2,0,9.0,0.16999999999999998,0.08499776085982982,0.04501795332136445,0.2698412698412698
408,0,0,0,161.0,117,190.9,113,227.7,113,12.1,4,4,0,8.0,0.17,0.08501833420639078,0.045015371102327624,0.2702479338842975
408,0,0,0,126.7,108,206.0,90,247.8,114,13.3,7,1,0,10.0,0.17000789265982635,0.085,0.04499596448748991,0.2699248120300752
415,0,0,0,58.9,125,169.6,59,211.4,88,9.4,3,1,0,5.0,0.1699490662139219,0.08502358490566038,0.04498580889309366,0.2702127659574468
510,1,1,42,196.8,89,254.9,122,138.3,126,20.0,6,0,1,3.0,0.17002032520325203,0.0850137308748529,0.044974692697035426,0.27
510,0,0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,0,5.0,0.16998769987699877,0.08502954694681548,0.04504347826086956,0.26971830985915496
415,0,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1,1,6.0,0.17001769911504425,0.08499317871759891,0.045000000000000005,0.2702127659574468
510,0,1,36,113.7,117,157.5,82,177.6,118,10.0,3,2,0,9.0,0.1700087950747581,0.08501587301587302,0.044988738738738744,0.27
408,0,0,0,239.8,125,214.8,111,143.3,81,8.7,5,2,0,8.0,0.17001668056713928,0.08500931098696463,0.04501046755059316,0.2701149425287357
408,0,0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,0,4.0,0.16998097050428163,0.08499780026396832,0.044977511244377814,0.2702290076335878
408,0,1,22,213.8,102,141.8,86,142.2,123,7.2,3,0,0,3.0,0.17001870907390085,0.08497884344146685,0.04500703234880451,0.26944444444444443
510,0,0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,0,10.0,0.1700052438384898,0.08501362397820163,0.04501811594202898,0.2704081632653061
415,0,0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,0,16.0,0.16998244587478056,0.08503401360544217,0.0449955713020372,0.26982758620689656
510,0,0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,0,11.0,0.16997405966277562,0.08502722323049001,0.044986807387862794,0.26956521739130435
408,0,0,0,201.4,52,229.4,104,252.5,106,12.0,3,1,0,7.0,0.17000993048659385,0.08500435919790758,0.04499009900990099,0.27
415,0,0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,1,14.0,0.17001414427157,0.08501587301587302,0.04502583979328165,0.2703296703296703
510,0,1,27,187.5,124,146.6,103,225.7,129,6.4,6,4,1,5.0,0.17002666666666666,0.08499317871759891,0.04501550731058928,0.27031249999999996
408,0,0,0,91.7,90,193.7,123,175.0,86,9.2,4,2,0,8.0,0.17001090512540892,0.08497676819824472,0.045028571428571425,0.26956521739130435
408,0,1,36,214.2,115,161.7,117,264.7,102,9.5,4,3,0,11.0,0.1699813258636788,0.0849721706864564,0.04499433320740461,0.27052631578947367
415,0,0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,0,8.0,0.17003436426116839,0.08497932935231971,0.044996596324029955,0.2697247706422018
408,0,0,0,166.3,125,158.2,86,256.7,80,6.1,5,1,0,6.0,0.16999398677089594,0.08501896333754741,0.04499415660303857,0.27049180327868855
415,0,0,0,231.0,115,230.4,140,261.4,120,9.5,3,1,0,6.0,0.17,0.08498263888888888,0.044988523335883705,0.27052631578947367
408,0,0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,0,7.0,0.16999500748876684,0.08499005964214713,0.044978165938864625,0.27042253521126763
408,0,0,0,197.0,109,202.6,128,206.4,80,9.1,10,1,0,14.0,0.17,0.08499506416584403,0.04500968992248062,0.2703296703296703
510,1,0,0,129.9,112,173.3,83,247.2,130,11.2,3,3,0,8.0,0.16997690531177828,0.08499711482977496,0.04498381877022654,0.2696428571428572
415,0,1,21,175.8,97,217.5,106,237.5,134,5.3,4,5,0,6.0,0.17002275312855517,0.08501149425287356,0.04501052631578947,0.269811320754717
510,0,0,0,203.1,106,210.1,113,195.6,129,12.0,3,3,0,8.0,0.17001477104874446,0.08500713945740124,0.044989775051124746,0.27
510,0,1,36,183.2,117,126.8,76,263.3,71,11.2,8,1,0,11.0,0.16997816593886464,0.08501577287066246,0.04500569692366122,0.2696428571428572
415,0,1,23,205.0,101,152.0,60,158.6,59,10.2,5,2,0,9.0,0.17,0.085,0.045018915510718786,0.26960784313725494
510,0,0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,0,9.0,0.17003367003367004,0.08498552821997106,0.04498966942148761,0.2701612903225806
415,0,1,39,200.3,68,220.4,97,253.8,116,10.5,4,0,0,10.0,0.16999500748876684,0.08498185117967332,0.044996059889676907,0.2704761904761905
415,0,1,28,192.6,107,195.5,74,109.7,139,6.8,5,3,0,13.0,0.1699896157840083,0.08501278772378518,0.04503190519598906,0.2705882352941177
510,0,0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,0,9.0,0.17002028397565921,0.08501278772378518,0.04498753117206982,0.2700854700854701
408,1,0,0,167.1,86,177.5,87,249.4,132,14.1,7,2,1,10.0,0.17001795332136446,0.08501408450704226,0.04498797113071371,0.2702127659574468
415,0,0,0,231.9,101,160.1,94,110.4,98,14.3,6,3,0,12.0,0.16998706338939198,0.08500936914428482,0.04501811594202898,0.2699300699300699
408,0,0,0,146.7,91,203.5,78,203.4,110,13.7,3,1,0,11.0,0.17000681663258352,0.08501228501228501,0.04498525073746313,0.27007299270072993
408,1,0,0,271.5,87,216.3,126,121.1,105,11.7,4,1,0,7.0,0.17001841620626149,0.08502080443828017,0.045004128819157725,0.2700854700854701
408,0,0,0,181.5,121,218.4,98,161.6,103,8.5,5,1,0,10.0,0.17002754820936639,0.08498168498168497,0.044987623762376236,0.27058823529411763
408,0,1,43,257.7,97,162.1,95,286.9,86,11.1,4,2,0,12.0,0.17000388048117968,0.08500925354719309,0.04499825723248519,0.2702702702702703
408,0,0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,0,9.0,0.17002063983488133,0.08500451671183379,0.04497968659315148,0.269811320754717
415,0,0,0,102.8,119,206.7,91,299.0,105,10.1,7,1,0,10.0,0.17003891050583658,0.08500241896468312,0.04501672240802676,0.2702970297029703
408,0,0,0,187.9,116,157.6,117,227.3,86,7.5,6,1,0,5.0,0.16998403406067056,0.0850253807106599,0.04500659920809503,0.27066666666666667
415,0,0,0,226.0,112,248.5,118,140.5,142,6.9,11,1,0,5.0,0.17,0.08498993963782697,0.044982206405693954,0.26956521739130435
415,0,0,0,260.4,115,146.0,46,269.5,87,11.5,4,5,0,8.0,0.1700076804915515,0.085,0.04500927643784787,0.27043478260869563
408,0,0,0,178.7,116,292.1,138,265.9,101,9.8,4,0,0,13.0,0.17000559597090095,0.08500513522766175,0.0450169236555096,0.2704081632653061
415,0,0,0,337.4,120,227.4,116,153.9,114,15.8,7,0,1,7.0,0.17000592768227624,0.08500439753737905,0.04502923976608187,0.27025316455696197
510,0,1,23,157.6,129,247.0,96,259.2,112,13.7,2,0,0,12.0,0.16998730964467004,0.08502024291497975,0.04498456790123457,0.27007299270072993
510,0,0,0,183.6,117,256.7,72,178.6,79,10.2,2,1,0,0.0,0.16998910675381265,0.08500194779898715,0.04501679731243001,0.26960784313725494
510,0,1,24,142.1,124,183.4,129,164.8,114,9.6,4,1,0,10.0,0.1700211118930331,0.08500545256270446,0.045024271844660194,0.26979166666666665
415,0,0,0,136.3,97,172.2,108,137.5,101,7.1,5,0,0,7.0,0.16999266324284665,0.08501742160278747,0.04501818181818182,0.27042253521126763
415,0,0,0,217.1,110,241.5,111,253.5,103,12.0,6,0,0,12.0,0.17001381851681252,0.0850103519668737,0.045009861932938856,0.27
510,0,1,36,187.5,99,241.4,116,229.5,105,10.5,5,3,0,12.0,0.17002666666666666,0.08500414250207125,0.045010893246187365,0.2704761904761905
415,0,0,0,98.9,103,135.4,122,236.6,82,12.2,1,1,0,5.0,0.16996966632962587,0.08500738552437223,0.045012679628064246,0.269672131147541
415,0,0,0,206.3,151,148.6,89,167.2,91,6.1,3,1,0,12.0,0.1699951526902569,0.08499327052489906,0.044976076555023926,0.27049180327868855
415,0,1,33,243.1,92,213.8,92,228.7,104,12.1,2,2,0,8.0,0.17001234060057588,0.08498596819457437,0.044993441189331,0.2702479338842975
510,0,1,31,189.8,126,163.3,133,264.8,126,7.5,3,1,0,15.0,0.17002107481559536,0.08499693815064299,0.04501510574018127,0.27066666666666667
415,0,0,0,202.0,102,243.2,128,261.3,90,10.9,3,1,0,12.0,0.17,0.08499177631578948,0.045005740528128585,0.2697247706422018
408,0,1,38,170.1,124,193.3,116,105.9,73,12.8,4,1,0,8.0,0.17001763668430336,0.0849974133471288,0.04504249291784702,0.27031249999999996
510,0,0,0,230.9,87,187.4,90,154.0,53,6.3,2,0,0,3.0,0.16998700736249459,0.08500533617929562,0.045,0.2698412698412698
408,0,0,0,237.1,105,223.5,105,97.4,79,13.2,2,1,0,6.0,0.17001265288907635,0.08501118568232663,0.04496919917864476,0.2696969696969697
408,0,1,27,182.1,91,169.7,98,164.7,86,10.6,5,2,0,5.0,0.1700164744645799,0.08497348261638185,0.044990892531876145,0.269811320754717
415,0,0,0,119.3,87,211.5,101,268.9,86,10.5,4,3,0,2.0,0.16999161777032692,0.08501182033096927,0.04499814057270361,0.2704761904761905
415,0,0,0,116.8,87,178.9,93,182.4,150,14.1,2,1,0,5.0,0.17003424657534247,0.08501956400223588,0.0450109649122807,0.2702127659574468
408,0,0,0,219.2,92,149.4,125,244.7,104,6.1,5,0,0,15.0,0.1699817518248175,0.08500669344042837,0.044993870044953005,0.27049180327868855
415,0,0,0,252.6,104,169.0,125,170.9,106,11.1,7,2,0,8.0,0.16999208234362628,0.08502958579881656,0.04499707431246343,0.2702702702702703
415,0,0,0,147.1,91,190.4,107,195.2,115,12.2,3,0,0,5.0,0.17002039428959892,0.08497899159663864,0.044979508196721314,0.269672131147541
415,0,0,0,202.1,103,229.4,86,195.2,113,11.5,3,2,0,11.0,0.17001484413656606,0.08500435919790758,0.044979508196721314,0.27043478260869563
408,0,0,0,173.5,93,194.1,76,208.0,112,16.2,10,3,0,10.0,0.17002881844380405,0.08500772797527048,0.045,0.2697530864197531
408,0,0,0,232.1,122,292.3,112,201.2,112,0.0,0,3,0,6.0,0.17001292546316243,0.08501539514197742,0.04498011928429424,0.0
510,1,1,23,197.1,125,214.5,136,282.2,103,9.5,5,4,0,8.0,0.1700152207001522,0.084988344988345,0.04500354358610914,0.27052631578947367
415,0,0,0,58.2,94,138.7,118,136.8,91,11.9,1,5,1,10.0,0.16993127147766324,0.08500360490266763,0.04502923976608187,0.26974789915966385
408,0,1,36,115.6,111,237.7,94,169.9,103,9.9,12,2,0,6.0,0.1699826989619377,0.08498106857383256,0.045026486168334316,0.26969696969696966
